855000 | INFO  | P3 | DRV  | src=1000 tgt=0011 data=09 gap=1
855000 | INFO  | P3 | MONO | OUT src=0100 tgt=1011 data=43
865000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1000 data=7e cnt=17
865000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1000 data=27 cnt=18
865000 | INFO  | P0 | DRV  | src=0001 tgt=1000 data=7e gap=1
865000 | INFO  | P0 | MONO | OUT src=0010 tgt=1111 data=11
865000 | INFO  | P1 | DRV  | src=0010 tgt=1000 data=27 gap=0
865000 | INFO  | P1 | MONO | OUT src=0010 tgt=1111 data=11
865000 | INFO  | P2 | MONO | OUT src=0010 tgt=1111 data=11
865000 | INFO  | P3 | MONO | OUT src=0010 tgt=1111 data=11
875000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=1111 data=c6 cnt=19
875000 | INFO  | P0 | MONO | OUT src=1000 tgt=0011 data=40
875000 | INFO  | P1 | MONO | OUT src=0100 tgt=1011 data=43
875000 | INFO  | P2 | MONO | OUT src=0001 tgt=1110 data=fa
875000 | INFO  | P3 | DRV  | src=1000 tgt=1111 data=c6 gap=0
875000 | INFO  | P3 | MONO | OUT src=0001 tgt=1110 data=fa
885000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1000 data=36 cnt=19
885000 | INFO  | P2 | MONI | ENQ_EXP src=0100 tgt=1111 data=8c cnt=19
885000 | INFO  | P1 | DRV  | src=0010 tgt=1000 data=36 gap=0
885000 | INFO  | P1 | MONO | OUT src=1000 tgt=0011 data=40
885000 | INFO  | P2 | DRV  | src=0100 tgt=1111 data=8c gap=1
885000 | INFO  | P3 | MONO | OUT src=0010 tgt=1000 data=d9
895000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1110 data=cc cnt=18
895000 | WARN  | P3 | MONI | DROP_FULL src=1000 tgt=0010 data=e5
895000 | INFO  | P0 | DRV  | src=0001 tgt=1110 data=cc gap=1
895000 | INFO  | P0 | MONO | OUT src=0100 tgt=0011 data=fa
895000 | INFO  | P1 | MONO | OUT src=0001 tgt=1110 data=fa
895000 | INFO  | P3 | DRV  | src=1000 tgt=0010 data=e5 gap=0
905000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=0001 data=80 cnt=20
905000 | INFO  | P0 | MONO | OUT src=1000 tgt=0111 data=60
905000 | INFO  | P1 | DRV  | src=0010 tgt=0001 data=80 gap=0
905000 | INFO  | P1 | MONO | OUT src=0100 tgt=0011 data=fa
905000 | INFO  | P2 | MONO | OUT src=0010 tgt=0100 data=1f
